,Crude oil balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,948.9,937.7,997.7,1038.7,1044.1,1024.7,1053.2,1110.0,1130.9,1110.0,1123.9,1129.1,1093.3,1153.2,1217.6,1262.3,1271.7,1261.7,1267.4,1151.6,1161.7,1139.5,1110.7,1036.4,968.5,995.6,990.7,976.3,879.6,766.9,568.2,,,
G7,774.9,772.6,812.0,851.1,856.3,832.0,861.3,904.5,915.7,893.2,928.7,947.0,924.7,973.3,1022.4,1046.7,1026.6,1014.8,996.8,894.6,888.0,854.6,796.2,720.3,644.6,639.5,644.3,609.7,504.3,385.1,262.5,,,
BRICS,-162.4,-110.8,-73.7,-52.8,-58.9,-46.5,-38.4,-22.6,-33.5,-2.1,34.2,7.5,-13.0,-22.9,-10.2,-8.3,19.9,43.8,85.2,128.1,156.7,182.8,223.6,252.1,288.0,288.4,323.1,354.5,399.2,424.4,455.3,,,
Europe,469.7,451.5,446.7,440.7,410.5,397.9,401.1,409.3,436.2,389.8,392.6,404.2,398.9,432.0,471.0,493.3,511.4,502.1,516.1,464.4,476.9,479.1,496.4,480.5,470.6,503.1,488.9,507.6,493.1,498.2,400.3,,,
European Union,510.4,502.3,511.8,512.9,525.8,526.9,540.9,549.5,576.8,541.9,548.6,557.2,540.6,556.7,568.2,571.8,573.8,566.5,569.2,524.7,521.3,505.4,511.4,493.5,491.7,526.3,520.4,533.2,524.1,520.0,447.4,,,
Belgium,26.7,30.2,29.8,28.3,28.7,26.4,31.8,33.1,34.6,32.2,34.0,33.2,33.9,36.2,35.1,32.3,32.4,33.1,33.5,29.9,31.1,28.8,30.2,28.0,32.5,31.8,31.0,33.1,32.2,33.4,26.3,,,
Czechia,7.4,6.3,6.6,6.1,6.7,7.0,7.4,6.9,6.9,6.0,5.6,5.9,6.0,6.3,6.4,7.8,7.8,7.3,8.2,7.2,7.7,6.9,7.1,6.6,7.4,7.1,5.3,7.8,7.4,7.7,6.1,,,
France,75.3,77.6,76.0,77.4,76.4,78.2,83.3,87.0,89.1,80.8,83.9,86.4,80.1,85.4,85.0,84.1,82.0,81.2,83.3,71.8,64.2,64.6,57.4,56.6,54.8,58.2,56.0,57.7,53.2,48.5,33.1,,,
Germany,88.1,88.8,98.9,99.5,105.1,100.1,101.8,97.0,108.0,102.2,100.5,104.1,103.6,105.8,109.0,111.6,109.1,106.1,105.2,97.9,92.6,90.1,93.2,90.5,89.4,90.9,91.1,90.7,85.2,85.9,83.1,,,
Italy,83.7,84.2,86.3,85.4,85.1,81.9,81.4,87.3,91.2,87.9,89.9,90.6,89.5,90.7,92.3,93.8,91.9,94.0,87.6,80.3,84.0,77.4,73.6,65.1,58.7,67.5,65.4,68.6,63.5,65.6,52.0,,,
Netherlands,47.4,51.3,54.9,54.9,54.6,58.3,60.1,59.8,61.3,58.2,59.4,59.9,53.8,56.1,59.1,60.3,59.0,57.0,57.0,57.0,59.0,56.5,57.0,54.2,53.6,59.0,60.2,59.4,60.6,64.3,57.7,,,
Poland,13.1,11.5,13.2,13.9,13.4,14.1,15.0,15.1,15.7,16.6,18.1,17.5,17.6,17.5,17.5,18.1,20.4,21.7,21.5,21.2,23.1,24.1,24.6,23.1,23.4,26.4,24.5,25.1,27.1,26.8,25.0,,,
Portugal,11.2,10.2,11.7,11.5,13.8,13.5,12.1,13.5,13.9,13.8,12.1,13.2,11.9,13.3,13.2,13.5,14.6,13.3,13.1,11.2,11.6,10.9,11.4,13.6,12.0,15.0,14.5,15.2,13.6,12.8,11.4,,,
Romania,16.1,8.4,6.6,7.6,8.1,8.7,7.2,6.2,6.0,4.3,4.8,5.5,6.4,5.2,7.3,8.7,8.7,8.5,8.6,7.2,6.0,5.5,5.1,5.5,7.2,7.2,8.0,8.5,9.0,9.4,7.9,,,
Spain,53.3,52.9,54.9,52.5,54.8,55.7,54.9,56.6,60.7,58.9,58.8,57.8,57.7,58.0,59.5,60.2,61.2,59.0,60.5,56.0,56.2,56.4,59.9,59.8,60.7,64.9,63.7,65.2,67.2,66.1,55.4,,,
Sweden,17.0,16.2,17.0,17.8,18.2,17.8,19.0,20.1,19.8,19.3,20.3,19.5,18.3,20.3,20.7,20.0,19.2,17.8,21.1,19.1,19.4,18.8,20.5,16.9,18.2,19.3,18.9,18.7,19.6,16.4,18.3,,,
United Kingdom,-4.3,2.4,1.3,-1.1,-28.9,-34.6,-30.6,-29.2,-36.7,-46.9,-38.5,-33.4,-30.2,-20.7,-2.0,4.8,9.2,6.4,11.8,9.0,12.9,24.3,29.5,25.5,22.8,17.0,13.9,14.9,7.9,7.3,0.4,,,
Norway,-66.6,-80.7,-92.0,-99.0,-113.4,-124.3,-140.6,-141.8,-135.0,-134.2,-145.3,-150.5,-143.4,-136.5,-128.6,-115.7,-104.9,-102.5,-95.4,-92.3,-82.1,-75.9,-68.6,-63.6,-67.8,-69.7,-75.1,-71.7,-65.7,-64.6,-79.5,,,
Turkey,20.1,17.6,19.3,22.0,21.8,24.7,24.2,23.3,23.7,23.0,21.6,23.2,23.7,24.1,23.9,23.4,24.1,23.4,21.7,14.2,17.0,18.1,19.2,18.5,17.2,24.7,24.4,25.4,20.7,30.9,28.8,,,
CIS,-107.1,-68.4,-81.2,-88.0,-100.0,-98.5,-112.3,-120.9,-132.6,-143.2,-156.8,-174.0,-198.6,-239.5,-274.2,-285.1,-291.1,-313.4,-310.2,-328.6,-331.9,-327.1,-320.2,-316.4,-302.9,-321.0,-333.2,-336.4,-343.3,-351.6,-316.6,,,
Kazakhstan,-6.2,-8.2,-7.8,-7.8,-7.8,-8.9,-11.2,-15.2,-16.2,-23.0,-28.4,-31.1,-37.0,-40.8,-46.9,-50.9,-49.3,-50.6,-57.3,-62.6,-63.3,-64.2,-63.5,-61.6,-64.1,-62.7,-60.3,-69.2,-69.8,-70.0,-70.6,,,
Russia,-203.3,-155.6,-131.8,-117.3,-121.9,-113.8,-119.7,-122.9,-131.7,-129.9,-138.5,-157.0,-182.2,-222.1,-253.4,-250.2,-246.1,-255.9,-240.6,-247.1,-245.9,-247.1,-239.1,-235.8,-222.0,-242.8,-254.1,-252.2,-260.1,-268.7,-234.6,,,
Ukraine,53.1,49.1,34.4,19.7,15.8,13.3,9.3,9.0,9.8,7.9,5.7,13.4,18.8,21.4,21.5,14.8,10.9,10.3,6.7,7.2,7.8,5.8,1.6,0.8,0.1,0.2,0.5,1.2,1.3,1.3,1.4,,,
Uzbekistan,5.2,5.6,3.1,4.0,1.5,-0.4,-0.8,-0.9,-0.8,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.6,1.1,0.7,0.8,0.6,0.8,1.1,1.1,1.2,0.7,0.4,,,
America,233.1,204.5,224.0,239.1,249.3,220.0,221.2,230.3,247.5,274.2,283.2,294.8,279.0,297.9,323.1,324.5,313.6,327.0,318.7,277.7,246.3,214.6,155.5,110.6,48.9,29.6,44.5,9.2,-51.7,-150.9,-208.9,,,
North America,329.3,316.5,331.5,371.0,384.5,379.0,399.8,434.0,447.0,457.0,475.1,493.9,475.2,502.9,531.8,539.7,531.1,521.5,510.0,456.4,453.0,421.0,363.6,304.8,253.5,240.9,255.7,219.9,143.4,30.6,-29.3,,,
Canada,-10.1,-14.8,-20.3,-20.6,-22.7,-28.6,-27.8,-28.3,-34.7,-27.6,-30.0,-28.8,-35.7,-38.1,-40.7,-36.7,-49.3,-51.8,-53.8,-54.4,-60.3,-75.7,-79.5,-92.0,-102.7,-106.6,-114.9,-128.9,-148.3,-153.7,-153.1,,,
United States,339.4,331.3,351.8,391.7,407.2,407.6,427.6,462.3,481.7,484.7,505.1,522.7,510.9,541.1,572.5,576.4,580.4,573.3,563.8,510.8,513.3,496.7,443.1,396.8,356.2,347.5,370.6,348.8,291.6,184.2,123.8,,,
Latin America,-96.3,-111.9,-107.4,-132.0,-135.2,-159.0,-178.6,-203.7,-199.5,-182.9,-191.9,-199.1,-196.2,-205.1,-208.7,-215.2,-217.5,-194.5,-191.3,-178.7,-206.7,-206.4,-208.2,-194.1,-204.6,-211.3,-211.2,-210.7,-195.1,-181.4,-179.6,,,
Argentina,-0.9,-1.1,-2.7,-4.3,-10.0,-13.5,-15.9,-16.1,-15.8,-12.9,-13.2,-13.4,-13.2,-11.6,-8.6,-7.5,-4.4,-2.8,-2.8,-4.7,-4.7,-3.0,-2.8,-1.5,-1.4,-1.0,-1.5,-0.3,-2.4,-3.4,-5.0,,,
Brazil,28.9,26.6,26.8,25.7,28.0,24.8,28.8,29.1,28.0,23.7,19.2,15.6,7.5,5.1,11.1,3.5,-1.7,-0.3,-2.6,-7.6,-14.8,-13.8,-9.6,-0.1,-8.5,-22.2,-35.1,-45.5,-45.2,-53.6,-66.6,,,
Chile,5.4,5.5,6.0,6.3,7.1,7.6,8.0,8.6,9.4,9.3,9.7,9.8,9.6,10.2,10.4,10.2,11.1,10.8,10.1,10.0,8.5,9.0,8.7,9.5,8.9,8.6,8.5,8.8,8.9,9.7,7.8,,,
Colombia,-9.9,-8.8,-9.2,-10.2,-9.7,-16.1,-16.6,-17.9,-22.9,-26.4,-19.6,-15.0,-14.7,-11.8,-11.1,-11.4,-10.9,-11.3,-13.3,-18.1,-25.8,-32.6,-35.7,-39.3,-41.2,-40.7,-32.3,-32.5,-30.8,-29.0,-29.9,,,
Mexico,-69.4,-74.6,-74.7,-73.1,-70.7,-70.5,-80.0,-89.5,-90.3,-82.6,-91.3,-92.4,-96.5,-104.4,-104.9,-99.8,-98.7,-89.0,-74.3,-64.5,-71.2,-70.0,-65.7,-62.4,-59.4,-59.5,-62.7,-61.8,-62.7,-58.7,-59.5,,,
Venezuela,-64.3,-73.3,-66.9,-87.0,-88.2,-99.5,-113.8,-128.5,-121.9,-105.0,-111.8,-120.1,-100.3,-101.6,-111.3,-117.6,-118.1,-110.0,-118.3,-104.7,-101.8,-103.7,-109.0,-104.8,-104.6,-99.6,-93.7,-80.0,-62.5,-38.7,-17.5,,,
Asia,276.5,289.5,340.5,372.7,385.6,405.2,445.0,487.2,462.3,494.7,562.0,544.1,550.0,599.3,662.2,677.1,710.7,742.0,756.4,781.3,826.5,854.0,903.8,912.2,932.3,983.2,1050.4,1108.4,1162.7,1194.6,1159.4,,,
China,-21.1,-16.6,-10.2,-3.8,-6.1,-1.1,2.2,15.6,11.7,29.4,60.0,52.7,61.7,82.9,117.2,118.8,138.8,159.3,174.6,198.6,234.7,251.3,268.6,280.1,307.8,332.6,378.1,414.6,459.3,505.0,541.0,,,
India,20.7,24.0,29.2,30.8,27.3,27.3,33.9,34.5,39.8,57.8,74.1,78.7,82.0,90.4,95.9,99.4,111.5,121.7,132.8,159.3,163.6,171.7,184.8,189.2,189.4,202.9,213.9,220.4,226.5,224.5,201.4,,,
Indonesia,-31.7,-37.8,-32.0,-29.5,-35.9,-30.2,-27.6,-29.1,-26.8,-24.9,-17.0,-14.9,-10.8,-6.9,-2.1,-3.1,2.8,0.0,-1.3,4.4,3.6,1.9,4.2,7.5,10.0,9.6,8.6,12.3,11.9,13.6,14.0,,,
Japan,202.9,203.2,218.0,218.9,234.0,227.3,225.5,228.5,217.1,212.2,217.8,205.3,206.6,209.2,206.2,212.7,203.3,205.7,198.8,179.1,181.4,177.1,178.8,177.9,165.5,165.0,162.2,157.9,151.1,147.2,123.2,,,
Malaysia,-20.3,-21.0,-21.5,-17.8,-17.0,-17.1,-15.2,-13.8,-15.9,-14.3,-9.1,-8.4,-10.3,-10.2,-10.5,-10.3,-8.7,-7.0,-6.1,-6.1,-8.7,-2.0,-1.7,-1.5,-1.8,-7.3,-5.4,-4.4,-5.4,0.7,-0.5,,,
South Korea,41.8,54.2,69.1,76.1,79.5,87.4,99.9,121.1,113.7,120.5,123.2,118.8,108.1,108.0,114.2,115.0,120.4,118.5,116.3,115.0,118.7,124.9,128.2,122.8,125.8,139.0,145.8,151.2,151.1,145.5,133.1,,,
Taiwan,22.2,21.9,23.9,25.8,24.9,30.2,32.9,32.7,34.7,36.4,38.8,39.9,41.2,46.7,52.9,54.8,52.4,51.9,47.9,49.6,46.1,41.9,46.6,44.1,45.4,44.2,45.2,44.4,45.8,46.1,38.3,,,
Thailand,9.7,9.5,12.3,14.9,18.4,21.2,29.2,33.5,31.1,32.5,30.6,31.1,33.7,35.7,40.7,38.0,38.0,37.2,38.2,39.5,40.8,39.7,42.6,43.4,41.0,44.4,42.3,44.6,47.4,42.3,42.7,,,
Pacific,2.1,0.7,2.1,4.9,5.8,5.5,7.9,7.6,6.4,9.7,3.3,0.7,4.5,7.8,7.3,11.1,11.5,10.0,9.5,7.6,10.5,13.9,14.4,15.1,14.7,11.9,10.2,11.5,13.1,11.1,5.3,,,
Australia,4.3,3.3,5.0,7.7,8.6,7.3,10.3,8.9,6.9,11.1,3.5,0.4,3.2,6.0,4.9,8.4,9.2,7.6,8.3,6.3,7.2,9.8,9.7,11.4,10.8,7.7,4.9,6.1,7.6,5.7,0.9,,,
New Zealand,2.3,2.3,2.3,2.5,2.8,2.9,2.7,2.3,3.3,3.2,3.5,3.4,3.9,4.3,4.0,4.2,4.1,3.1,2.4,2.5,2.7,3.2,3.6,3.8,3.5,3.6,3.9,4.0,4.2,4.1,3.3,,,
Africa,-201.5,-214.8,-216.2,-215.2,-216.2,-219.9,-232.8,-240.2,-241.8,-236.5,-256.8,-247.8,-249.4,-283.8,-322.2,-336.9,-351.4,-365.2,-360.2,-345.5,-362.4,-290.6,-332.9,-295.6,-262.2,-275.1,-247.1,-268.3,-273.8,-282.0,-243.0,,,
Algeria,-31.1,-30.5,-29.7,-30.7,-30.8,-30.6,-34.1,-33.0,-34.6,-34.3,-37.0,-35.7,-39.9,-48.0,-54.6,-58.5,-57.0,-55.8,-51.7,-44.9,-38.7,-38.2,-36.7,-33.4,-28.1,-28.9,-30.2,-28.7,-25.8,-26.4,-23.6,,,
Egypt,-19.6,-18.2,-20.1,-19.9,-17.8,-17.1,-14.4,-12.5,-11.0,-13.0,-9.9,-4.9,-4.8,-4.7,-1.0,0.4,0.6,0.9,-2.6,-2.9,-5.7,-7.4,-6.6,-9.0,-7.2,-9.2,-5.4,-4.5,-4.4,-3.1,0.0,,,
Nigeria,-74.9,-77.9,-82.2,-83.5,-87.8,-87.9,-96.5,-105.8,-98.0,-98.1,-110.0,-108.7,-93.3,-111.5,-123.2,-118.7,-115.5,-112.7,-103.3,-108.0,-122.3,-116.7,-118.4,-104.6,-106.3,-105.8,-88.4,-89.0,-93.2,-98.7,-84.4,,,
South Africa,12.4,10.8,12.1,11.7,13.8,16.3,16.4,21.0,18.7,16.8,19.5,17.5,18.0,20.8,19.0,20.3,17.4,19.0,21.1,25.0,19.3,20.7,18.9,18.7,21.3,18.0,20.4,17.1,18.7,17.1,14.0,,,
Middle-East,-601.2,-607.3,-657.7,-691.9,-665.1,-668.1,-664.5,-693.1,-753.9,-713.1,-779.4,-751.5,-673.2,-744.8,-809.3,-840.4,-845.3,-830.9,-853.6,-748.8,-757.7,-867.6,-856.1,-858.9,-835.6,-870.9,-985.5,-938.5,-950.8,-879.9,-812.4,,,
Iran,-117.0,-122.2,-133.9,-137.3,-127.0,-127.1,-126.5,-116.3,-116.6,-102.6,-115.3,-104.8,-104.4,-124.3,-125.9,-128.4,-130.7,-135.2,-128.1,-115.3,-119.6,-118.0,-63.1,-58.0,-61.5,-62.8,-119.4,-121.7,-105.7,-45.2,-46.2,,,
Kuwait,-31.8,-6.3,-37.6,-73.1,-63.6,-60.5,-62.2,-57.5,-60.3,-48.1,-61.8,-63.0,-49.7,-63.1,-72.2,-84.1,-87.6,-81.9,-89.3,-68.3,-70.0,-89.4,-103.0,-102.6,-101.1,-99.6,-107.9,-102.8,-105.0,-102.2,-94.6,,,
Saudi Arabia,-240.1,-332.1,-333.4,-326.2,-310.7,-313.6,-305.3,-308.3,-318.5,-285.1,-311.7,-300.8,-263.4,-325.8,-353.2,-373.6,-363.2,-345.3,-357.6,-295.9,-290.2,-352.7,-371.3,-376.6,-354.1,-368.6,-382.5,-348.2,-368.3,-351.6,-333.6,,,
United Arab Emirates,-79.3,-92.0,-98.5,-94.8,-94.7,-94.3,-93.0,-98.6,-99.9,-86.4,-94.2,-83.3,-78.7,-92.9,-99.7,-103.5,-114.3,-113.2,-116.3,-100.2,-106.9,-122.3,-126.5,-134.5,-127.3,-124.5,-120.2,-122.8,-125.3,-130.9,-118.5,,,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
