,Oil products balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,120.7,92.2,77.4,58.6,74.5,73.9,85.2,59.9,64.2,89.9,104.4,104.8,114.0,115.1,115.2,134.6,123.3,96.2,65.9,59.7,56.8,21.9,-5.9,-12.3,-35.8,-51.1,-43.3,-65.2,-49.8,-45.5,-44.6,,,
G7,115.4,95.3,86.5,63.5,67.4,70.0,79.6,59.6,70.6,87.3,90.4,88.6,79.7,80.0,76.4,89.0,82.1,43.4,11.4,6.3,5.8,-15.1,-28.1,-28.8,-41.7,-55.2,-69.0,-91.0,-87.6,-78.5,-70.4,,,
BRICS,-55.3,-42.3,-30.8,-13.5,-20.4,-9.5,-12.8,-7.1,3.1,-11.5,-34.9,-41.1,-55.8,-55.0,-53.1,-74.9,-73.9,-81.0,-81.1,-108.8,-113.1,-110.5,-119.6,-141.2,-143.3,-136.1,-135.0,-128.0,-132.5,-128.4,-119.9,,,
Europe,36.3,40.2,33.5,22.6,18.5,28.8,29.0,23.9,25.7,36.1,38.6,42.9,47.4,42.3,27.4,35.5,40.7,28.3,33.2,45.8,45.4,36.8,15.4,26.3,26.1,15.0,23.6,19.0,30.5,40.7,39.9,,,
European Union,34.5,43.4,37.9,30.3,24.8,33.5,34.4,31.4,28.1,33.4,30.4,32.7,41.4,35.8,25.4,27.9,26.8,16.5,19.9,24.3,23.9,22.0,-5.2,0.2,-4.1,-19.5,-17.9,-22.9,-13.9,4.1,11.4,,,
Belgium,-4.5,-5.4,-4.4,-3.7,-1.6,0.1,-2.7,-3.5,-3.7,-4.0,-4.4,-3.4,-4.1,-3.5,-2.6,0.3,-0.3,-1.8,1.2,0.3,1.3,0.8,-2.8,1.1,-3.9,-1.8,-2.2,-4.0,0.0,-2.6,1.0,,,
Czechia,1.2,0.8,1.2,1.2,1.0,0.9,0.6,1.0,1.4,1.8,1.9,2.2,1.9,2.0,2.5,1.9,1.7,2.2,1.6,1.9,1.1,1.6,1.3,1.6,1.4,1.5,2.6,1.4,2.1,1.7,2.4,,,
France,11.1,14.0,12.2,9.5,8.2,9.4,6.2,2.3,5.3,11.5,9.2,8.0,12.9,8.1,8.6,9.9,10.7,10.0,5.5,13.8,17.8,20.5,24.8,24.4,24.6,22.0,20.9,21.0,22.3,27.7,31.2,,,
Germany,31.5,39.3,32.7,30.9,25.7,29.1,32.0,36.6,29.5,23.9,23.6,25.2,17.8,17.2,10.3,8.7,9.8,0.6,9.3,10.6,17.7,15.0,13.7,17.6,15.9,15.2,16.1,17.6,17.8,20.0,12.1,,,
Italy,6.6,2.8,4.5,2.5,3.6,8.3,8.1,1.2,-0.8,-0.1,-1.0,-5.8,-2.7,-5.1,-9.3,-14.3,-12.1,-16.9,-14.5,-12.5,-16.4,-14.3,-17.8,-11.6,-8.3,-14.9,-13.4,-15.6,-11.7,-12.2,-9.8,,,
Netherlands,-15.2,-18.0,-20.3,-21.0,-19.9,-24.7,-23.4,-21.7,-23.0,-20.2,-17.3,-17.7,-12.4,-13.1,-13.2,-12.9,-10.5,-9.7,-9.2,-12.0,-15.4,-13.8,-12.9,-12.8,-14.8,-16.9,-19.8,-20.8,-21.7,-22.2,-18.6,,,
Poland,1.2,1.1,0.6,0.7,1.0,1.3,2.3,3.0,2.6,1.9,1.2,1.2,1.6,2.3,3.1,3.4,3.1,3.4,2.6,2.9,1.9,0.7,-1.0,-2.2,-2.3,-2.9,0.1,3.9,2.8,3.2,3.5,,,
Portugal,1.0,2.1,1.8,1.3,-1.0,0.6,1.2,0.9,2.1,2.9,3.7,3.5,4.3,2.9,2.4,3.3,-0.1,1.0,1.3,1.7,0.7,1.0,-0.8,-3.2,-1.8,-4.1,-3.8,-4.1,-2.4,-1.1,-2.1,,,
Romania,-4.8,-0.7,-0.6,-0.9,-3.3,-1.7,-0.5,1.1,-0.5,-0.6,-1.2,-0.1,-2.5,-1.6,-2.4,-4.7,-3.9,-3.0,-3.2,-2.5,-1.3,-1.3,-0.6,-1.5,-2.6,-2.2,-2.7,-2.4,-2.6,-2.7,-1.2,,,
Spain,-4.6,-3.5,-2.7,-2.6,-0.7,3.0,3.0,5.8,6.7,10.1,12.2,15.0,16.7,17.2,17.5,19.3,18.0,19.9,16.5,15.1,12.8,9.9,-0.6,-4.2,-2.9,-4.5,-3.4,-3.6,-4.3,-2.8,-4.9,,,
Sweden,-2.1,-1.7,-2.4,-2.7,-1.3,-2.0,-1.7,-3.7,-2.4,-3.7,-4.9,-3.3,-2.4,-2.4,-4.0,-2.9,-3.5,-2.6,-4.6,-4.4,-4.2,-3.1,-6.4,-2.8,-4.2,-6.5,-5.2,-7.4,-7.5,-2.6,-1.5,,,
United Kingdom,-6.1,-9.6,-11.0,-14.4,-12.9,-13.0,-15.2,-18.0,-13.0,-7.8,-6.5,-2.1,-8.0,-6.4,-12.0,-7.4,-2.1,-4.8,-4.7,-3.3,-2.4,-5.1,-3.8,1.5,6.5,9.3,10.8,11.4,12.9,12.5,6.4,,,
Norway,-4.7,-3.9,-5.9,-5.7,-6.4,-5.1,-5.6,-5.5,-5.8,-5.2,-5.5,-5.1,-4.5,-5.3,-4.9,-5.5,-6.4,-6.9,-5.9,-5.1,-3.5,-6.3,-5.7,-4.8,-6.1,-6.9,-4.8,-6.6,-7.3,-7.1,-4.7,,,
Turkey,0.2,-0.5,0.2,1.6,1.1,1.7,3.4,3.3,2.9,3.1,7.4,3.2,4.5,4.1,4.8,4.5,6.1,7.8,7.5,13.4,12.0,10.6,12.9,13.9,15.7,16.1,18.8,20.2,22.8,12.9,11.6,,,
CIS,-52.5,-31.8,-28.9,-28.3,-38.7,-38.1,-53.5,-51.7,-48.3,-52.5,-57.2,-68.1,-86.3,-87.2,-93.3,-106.6,-106.2,-112.1,-111.9,-117.8,-125.6,-124.6,-125.3,-141.2,-144.7,-145.6,-127.8,-130.6,-133.4,-130.4,-122.0,,,
Kazakhstan,1.4,4.8,3.9,1.7,0.6,0.0,-1.3,-0.9,-0.2,0.1,1.3,-0.2,-0.7,-1.1,-0.9,-2.4,-1.8,-1.7,-1.9,-4.4,-5.2,-4.6,-4.0,-3.8,-5.2,-2.6,-2.1,-2.7,-3.8,-4.4,-3.4,,,
Russia,-57.0,-48.4,-41.5,-40.2,-43.1,-43.4,-51.6,-51.9,-47.0,-47.6,-53.3,-56.1,-67.4,-67.0,-71.6,-84.4,-88.2,-95.5,-97.8,-101.7,-110.6,-111.0,-117.2,-129.8,-132.3,-134.0,-123.1,-126.3,-129.1,-127.0,-120.8,,,
Ukraine,0.4,12.1,1.8,5.0,3.4,7.4,2.2,4.8,3.0,0.9,2.5,-3.8,-7.4,-8.8,-8.2,-5.5,-0.8,0.5,3.2,2.5,1.8,3.4,6.5,6.1,7.1,7.6,8.7,8.8,9.4,9.4,9.7,,,
Uzbekistan,3.1,2.7,1.7,1.2,0.7,-0.1,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.3,-0.3,-0.1,-0.1,-0.2,-0.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,0.4,0.4,,,
America,-19.4,-36.6,-27.1,-28.4,-20.6,-27.3,-17.8,-10.9,-2.7,3.1,7.5,1.7,-1.4,9.3,11.8,33.6,34.2,31.6,7.0,-20.0,4.7,-23.0,-27.3,-32.8,-48.8,-46.9,-44.4,-51.1,-49.9,-33.6,-64.7,,,
North America,18.2,2.1,4.5,-2.7,2.7,-6.8,1.2,-1.1,10.0,13.5,18.4,21.4,14.0,21.0,34.2,52.0,39.1,25.7,-6.0,-24.9,-37.3,-65.5,-83.0,-89.7,-109.4,-112.4,-124.7,-151.5,-154.0,-144.4,-137.5,,,
Canada,-3.6,-5.1,-3.4,-4.9,-4.9,-5.2,-7.1,-6.7,-5.4,-6.4,-7.0,-8.6,-11.3,-9.0,-9.0,-5.1,-5.8,-8.2,-5.2,-7.1,-6.9,-3.3,-10.3,-12.3,-10.7,-10.2,-7.5,-11.9,-8.2,-6.6,-7.7,,,
United States,21.8,7.2,8.0,2.1,7.5,-1.7,8.3,5.6,15.4,19.9,25.4,30.0,25.3,30.0,43.2,57.1,44.9,33.9,-0.8,-17.9,-30.4,-62.2,-72.7,-77.5,-98.7,-102.2,-117.3,-139.6,-145.8,-137.7,-129.8,,,
Latin America,-37.6,-38.7,-31.6,-25.7,-23.2,-20.4,-19.0,-9.8,-12.7,-10.5,-11.0,-19.7,-15.4,-11.7,-22.4,-18.4,-4.9,5.9,13.0,4.9,42.1,42.4,55.7,56.9,60.6,65.5,80.4,100.4,104.1,110.8,72.8,,,
Argentina,-3.7,-3.2,-3.4,-3.2,-1.9,-1.7,-2.3,-3.4,-3.3,-4.1,-3.9,-7.4,-7.9,-8.1,-6.7,-5.6,-5.8,-4.4,-3.4,-2.3,-0.3,2.5,1.5,2.8,1.9,1.4,1.9,1.3,0.8,-0.4,-1.2,,,
Brazil,-1.1,0.9,1.5,7.5,5.3,8.6,10.5,11.0,9.3,9.8,8.6,7.0,5.2,1.6,-0.1,1.1,2.1,4.0,7.4,5.5,15.1,17.5,17.6,16.0,17.7,15.0,16.2,21.5,16.2,18.6,10.7,,,
Chile,0.3,0.6,0.8,0.9,1.4,1.5,2.3,2.1,1.8,1.6,1.0,0.2,1.2,0.5,1.6,2.1,2.0,6.1,6.6,5.7,6.5,6.4,6.6,6.5,6.5,6.7,7.6,7.3,7.3,6.8,6.5,,,
Colombia,-2.5,-2.7,-1.3,-1.4,-1.5,-1.3,-2.3,-2.0,-1.7,-3.6,-3.5,-4.1,-3.7,-3.9,-4.1,-3.6,-3.9,-2.5,-2.4,-2.4,-1.9,-1.4,-0.4,2.6,5.3,3.8,3.6,1.2,-1.3,-1.3,-1.7,,,
Mexico,0.4,2.3,2.6,1.4,4.2,0.8,4.2,9.3,10.1,11.4,16.1,13.5,10.4,8.9,10.6,13.3,14.8,18.1,19.5,13.3,19.1,22.8,24.1,18.8,19.0,23.6,31.7,41.2,48.0,42.3,27.2,,,
Venezuela,-30.0,-35.1,-30.0,-30.1,-32.8,-33.8,-36.0,-37.0,-37.8,-36.6,-36.3,-34.5,-30.1,-22.9,-34.0,-36.0,-28.2,-29.7,-27.6,-28.1,-19.2,-26.0,-15.8,-12.2,-15.2,-13.5,-9.8,-7.0,-6.3,-4.0,-3.2,,,
Asia,73.5,63.1,70.3,82.2,90.9,100.6,97.6,96.1,90.1,100.1,86.6,82.6,101.8,94.2,104.9,72.2,71.2,71.4,63.4,64.0,79.2,78.8,78.5,86.6,90.8,91.9,86.2,97.6,101.4,94.4,105.2,,,
China,-3.1,-1.3,1.7,13.5,9.5,11.7,13.9,22.5,20.5,16.8,13.8,15.9,17.1,22.4,32.9,23.7,28.7,24.1,25.6,19.8,19.7,24.7,24.6,21.4,12.5,11.9,0.8,4.6,4.3,-5.4,-4.8,,,
India,6.0,6.5,7.6,8.1,10.7,16.5,16.8,19.7,22.6,13.5,1.3,-2.4,-2.5,-7.0,-11.5,-10.7,-15.6,-18.3,-20.2,-36.4,-41.7,-47.8,-49.3,-53.3,-45.6,-34.0,-32.2,-34.3,-29.9,-20.6,-12.5,,,
Indonesia,-7.9,-7.4,-7.5,-4.4,-6.0,-2.9,-4.6,1.3,-1.7,1.8,3.9,3.5,6.7,6.4,12.4,15.0,10.8,14.0,14.9,12.2,15.6,18.2,22.9,23.3,23.4,20.6,17.9,22.4,22.9,23.4,17.4,,,
Japan,54.0,46.7,43.6,37.6,40.3,43.0,47.4,38.6,39.5,46.3,46.6,42.0,45.9,45.2,44.5,40.1,36.7,28.9,21.8,22.6,26.4,34.3,37.9,29.0,28.9,25.6,21.4,26.1,25.1,17.8,27.3,,,
Malaysia,2.0,3.3,3.8,4.2,2.3,0.1,-0.3,2.4,2.1,1.2,-1.9,-2.0,-0.9,-1.9,0.0,-0.5,-1.8,0.6,-1.5,-0.1,1.8,2.1,-1.3,7.0,7.4,3.7,2.8,2.0,3.4,2.6,1.5,,,
South Korea,8.6,3.5,3.1,5.1,10.2,8.4,5.0,-9.1,-19.2,-18.0,-16.4,-15.4,-4.6,-2.7,-9.6,-15.0,-16.9,-15.2,-18.5,-12.6,-12.7,-21.4,-21.0,-16.2,-18.9,-24.6,-23.3,-28.2,-29.1,-27.7,-25.5,,,
Taiwan,6.0,5.4,5.7,5.4,8.4,6.9,4.6,4.4,5.4,5.0,5.5,4.4,2.6,-1.5,-4.2,-7.2,-3.8,-2.7,-2.5,-5.1,0.8,0.5,-3.7,-1.5,0.2,0.5,0.4,0.8,-1.1,-4.1,2.6,,,
Thailand,7.5,7.9,7.9,8.7,8.3,8.9,4.4,-1.7,-2.8,-3.0,-3.4,-5.0,-4.5,-3.8,-3.8,-3.3,-5.3,-5.6,-8.9,-9.9,-9.3,-7.8,-9.2,-7.8,-5.3,-8.2,-4.5,-5.5,-6.4,1.3,-6.4,,,
Pacific,2.1,0.5,0.4,0.9,1.9,2.7,2.4,2.2,1.3,3.2,3.3,3.5,2.6,4.2,9.0,9.5,11.6,11.6,14.6,16.1,16.2,15.3,18.4,20.7,22.0,24.9,29.1,29.8,32.1,31.4,30.2,,,
Australia,1.0,-0.6,-0.9,-0.2,0.2,0.5,0.0,-0.4,-1.0,0.2,0.7,0.5,-0.4,0.6,5.3,6.6,8.5,7.9,11.2,12.9,13.4,12.6,15.7,17.6,18.4,20.8,25.0,25.7,27.7,27.1,25.8,,,
New Zealand,0.0,0.1,0.3,0.1,0.5,0.9,1.1,1.0,0.7,1.2,1.0,1.1,1.1,1.4,2.0,1.8,1.9,2.3,2.0,2.0,1.7,1.6,1.5,1.8,2.0,1.9,2.3,2.3,2.6,2.4,2.5,,,
Africa,-21.5,-22.1,-22.1,-22.2,-22.7,-23.0,-23.1,-28.7,-15.6,-18.7,-14.0,-21.5,-22.4,-11.8,-5.9,-7.6,1.8,8.2,17.1,26.9,38.5,52.7,56.8,62.9,69.8,72.9,77.1,78.3,78.5,82.0,68.7,,,
Algeria,-17.2,-16.6,-17.2,-16.6,-16.3,-16.7,-16.3,-19.3,-18.5,-20.1,-21.2,-21.9,-20.2,-20.0,-16.7,-16.2,-16.1,-16.8,-17.1,-16.3,-19.1,-17.4,-13.4,-12.9,-20.7,-19.9,-19.8,-19.2,-20.2,-17.7,-18.2,,,
Egypt,-1.6,-3.0,-3.1,-4.2,-6.1,-5.2,-4.2,-3.4,-2.6,-1.3,-0.5,-4.2,-5.1,-5.5,-3.0,-2.8,-1.9,-2.0,0.8,4.3,4.3,6.1,7.2,10.6,13.3,13.2,13.9,10.5,9.4,8.4,2.7,,,
Nigeria,-2.9,-2.9,-1.2,-1.2,0.4,-1.0,-1.7,-0.6,2.3,0.9,6.2,2.2,2.3,6.8,5.4,3.6,4.5,5.7,7.2,7.2,15.4,17.7,14.3,15.9,18.9,16.2,18.5,16.6,19.4,18.2,18.4,,,
South Africa,0.0,0.0,0.0,-2.3,-2.8,-2.8,-2.3,-8.2,-2.4,-4.0,-5.4,-5.5,-8.3,-5.1,-2.8,-4.6,-1.0,4.7,3.9,4.1,4.4,6.1,4.6,4.5,4.5,5.1,3.3,6.5,6.0,6.1,7.6,,,
Middle-East,-83.0,-60.1,-78.9,-84.8,-105.0,-106.5,-117.1,-119.5,-120.0,-129.5,-123.4,-112.7,-112.5,-123.1,-118.7,-112.8,-100.7,-86.1,-84.1,-88.2,-104.7,-104.7,-99.6,-92.8,-95.9,-118.5,-142.6,-150.1,-149.0,-145.3,-122.4,,,
Iran,2.7,3.2,2.8,-0.6,-4.7,-6.5,-8.2,-10.1,-12.5,-20.7,-16.6,-14.0,-15.0,-13.3,-11.1,-9.5,-7.6,-5.7,-3.5,-5.5,-10.4,-16.6,-12.1,-12.2,-10.7,-16.5,-22.6,-20.5,-19.5,-20.4,-13.0,,,
Kuwait,-10.1,-1.2,-12.2,-19.0,-32.9,-36.4,-35.2,-39.5,-36.7,-38.3,-31.0,-26.1,-28.3,-32.9,-32.0,-31.6,-33.9,-35.2,-31.3,-31.0,-34.0,-35.3,-36.6,-34.2,-34.5,-35.1,-31.7,-27.4,-27.5,-25.7,-22.8,,,
Saudi Arabia,-61.0,-52.2,-54.7,-53.8,-55.7,-54.6,-61.9,-58.5,-56.6,-52.4,-54.3,-51.1,-44.8,-54.1,-58.3,-60.6,-54.2,-47.1,-46.5,-50.0,-50.3,-43.4,-44.0,-33.2,-43.5,-44.6,-62.1,-66.0,-68.7,-60.6,-50.7,,,
United Arab Emirates,3.4,6.0,4.9,5.2,6.9,6.8,4.0,4.8,3.2,-2.0,-6.4,-10.9,-10.3,-9.2,-6.3,-4.5,-0.5,1.9,4.2,2.5,-0.5,-1.4,-3.4,-1.5,3.0,-12.4,-20.6,-25.0,-23.8,-25.0,-22.9,,,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
